date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:02:34	105/105	---M--	200	added ('OK')	text/plain	date:Sat,%2021%20May%202022%2013:13:28%20GMT	https://www.uniformbucket.com/robots.txt		(from )
00:02:35	137175/137175	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Aug%202024%2014:02:34%20GMT	https://www.uniformbucket.com/	C:/My%20Web%20Sites/project/www.uniformbucket.com/index.html	(from )
00:02:35	378/378	---M-Z	302	error ('Found')	text/html	date:Mon,%2012%20Aug%202024%2014:02:35%20GMT	https://www.uniformbucket.com/apple-touch-icon.png	C:/My%20Web%20Sites/project/www.uniformbucket.com/apple-touch-icon.png	(from https://www.uniformbucket.com/)
00:02:35	378/378	---M-Z	302	error ('Found')	text/html	date:Mon,%2012%20Aug%202024%2014:02:35%20GMT	https://www.uniformbucket.com/404	C:/My%20Web%20Sites/project/www.uniformbucket.com/404	(from https://www.uniformbucket.com/)
00:02:35	838/838	---M--	200	added ('OK')	image/png	date:Sat,%2025%20May%202019%2022:35:49%20GMT	https://www.uniformbucket.com/favicon.png	C:/My%20Web%20Sites/project/www.uniformbucket.com/favicon.png	(from https://www.uniformbucket.com/)
00:02:36	5085/5085	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Nov%202023%2009:00:33%20GMT	https://www.uniformbucket.com/img/ognew.png	C:/My%20Web%20Sites/project/www.uniformbucket.com/img/ognew.png	(from https://www.uniformbucket.com/)
00:02:36	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/project/www.google-analytics.com/analytics.js	(from https://www.uniformbucket.com/)
00:02:36	904/904	---MC-	200	added ('OK')	text/javascript	date:Mon,%2012%20Aug%202024%2014:02:36%20GMT	https://www.google.com/recaptcha/api.js?hl=&render=6Lfg2JAkAAAAABHAV-ds21-sF9wvQePj9zBnW4M4	C:/My%20Web%20Sites/project/www.google.com/recaptcha/apiff20.js	(from https://www.uniformbucket.com/)
00:02:37	1023888/1023888	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20Mar%202024%2004:11:56%20GMT	https://www.uniformbucket.com/assets/css/style.css?ver=1.8	C:/My%20Web%20Sites/project/www.uniformbucket.com/assets/css/style4b1d.css	(from https://www.uniformbucket.com/)
00:02:37	2138/2138	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Jun%202022%2020:57:55%20GMT	https://www.uniformbucket.com/assets/images/icon.png	C:/My%20Web%20Sites/project/www.uniformbucket.com/assets/images/icon.png	(from https://www.uniformbucket.com/)
00:02:37	3608/3608	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Jun%202022%2020:57:59%20GMT	https://www.uniformbucket.com/assets/images/ub/bird-icon.png	C:/My%20Web%20Sites/project/www.uniformbucket.com/assets/images/ub/bird-icon.png	(from https://www.uniformbucket.com/)
00:02:37	92431/92431	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Aug%202024%2014:02:37%20GMT	https://www.uniformbucket.com/pay-online	C:/My%20Web%20Sites/project/www.uniformbucket.com/pay-online.html	(from https://www.uniformbucket.com/)
00:02:38	92588/92588	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Aug%202024%2014:02:38%20GMT	https://www.uniformbucket.com/about-us	C:/My%20Web%20Sites/project/www.uniformbucket.com/about-us.html	(from https://www.uniformbucket.com/)
00:02:38	92209/92209	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Aug%202024%2014:02:38%20GMT	https://www.uniformbucket.com/contact	C:/My%20Web%20Sites/project/www.uniformbucket.com/contact.html	(from https://www.uniformbucket.com/)
00:02:39	229859/229859	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Aug%202024%2014:02:39%20GMT	https://www.uniformbucket.com/blog	C:/My%20Web%20Sites/project/www.uniformbucket.com/blog.html	(from https://www.uniformbucket.com/)
00:02:40	91391/91391	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Aug%202024%2014:02:39%20GMT	https://www.uniformbucket.com/careers	C:/My%20Web%20Sites/project/www.uniformbucket.com/careers.html	(from https://www.uniformbucket.com/)
00:02:40	92599/92599	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Aug%202024%2014:02:40%20GMT	https://www.uniformbucket.com/faq	C:/My%20Web%20Sites/project/www.uniformbucket.com/faq.html	(from https://www.uniformbucket.com/)
00:02:40	1353/1353	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2018%20Jun%202022%2020:58:04%20GMT	https://www.uniformbucket.com/assets/images/svg/logo.svg	C:/My%20Web%20Sites/project/www.uniformbucket.com/assets/images/svg/logo.svg	(from https://www.uniformbucket.com/)
00:02:40	12823/12823	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Jun%202022%2020:57:55%20GMT	https://www.uniformbucket.com/assets/images/logo.png	C:/My%20Web%20Sites/project/www.uniformbucket.com/assets/images/logo.png	(from https://www.uniformbucket.com/)
00:02:42	1681861/1681861	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Aug%202024%2014:02:41%20GMT	https://www.uniformbucket.com/category/corporate-uniform/blazers	C:/My%20Web%20Sites/project/www.uniformbucket.com/category/corporate-uniform/blazers.html	(from https://www.uniformbucket.com/)
00:02:42	1123902/1123902	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Aug%202024%2014:02:41%20GMT	https://www.uniformbucket.com/category/corporate-uniform/female-dress	C:/My%20Web%20Sites/project/www.uniformbucket.com/category/corporate-uniform/female-dress.html	(from https://www.uniformbucket.com/)
00:02:43	958570/958570	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Aug%202024%2014:02:42%20GMT	https://www.uniformbucket.com/category/corporate-uniform/female-kurti-2	C:/My%20Web%20Sites/project/www.uniformbucket.com/category/corporate-uniform/female-kurti-2.html	(from https://www.uniformbucket.com/)
